Question,Answer
What is the quadratic formula?,$x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}$
What is Einstein's mass-energy equivalence?,$E = mc^2$
What is the Pythagorean theorem?,$a^2 + b^2 = c^2$
What is the derivative of $x^2$?,$\frac{d}{dx}x^2 = 2x$
What is Euler's identity?,$e^{i\pi} + 1 = 0$
What is the integral of $\sin(x)$?,$\int \sin(x)dx = -\cos(x) + C$
What is the normal distribution formula?,$f(x) = \frac{1}{\sigma\sqrt{2\pi}}e^{-\frac{1}{2}(\frac{x-\mu}{\sigma})^2}$
What is the sum of first n natural numbers?,$\sum_{i=1}^{n} i = \frac{n(n+1)}{2}$
What is Newton's second law?,$F = ma$
What is the area of a circle?,$A = \pi r^2$
